Timestamp,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Blazor / C#]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Rust]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [C++ / Emscripten]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Go / TinyGo]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [AssemblyScript]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Grain]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Python]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Zig]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Blazor / C#],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Rust],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [C++ / Emscripten],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Go / TinyGo],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [AssemblyScript],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Grain],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Python],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Zig],Your Current Usage - what are you using WebAssembly for at the moment?,Future impact - where do you think WebAssembly will have the most impact in the future? [Web development],Future impact - where do you think WebAssembly will have the most impact in the future? [Blockchain],Future impact - where do you think WebAssembly will have the most impact in the future? [Internet of Things],Future impact - where do you think WebAssembly will have the most impact in the future? [Serverless],Future impact - where do you think WebAssembly will have the most impact in the future? [Containerisation],Future impact - where do you think WebAssembly will have the most impact in the future? [Game Development],Future impact - where do you think WebAssembly will have the most impact in the future? [Scientific],Future impact - where do you think WebAssembly will have the most impact in the future? [Cryptography],Future impact - where do you think WebAssembly will have the most impact in the future? [Audio / Video Processing],Future impact - where do you think WebAssembly will have the most impact in the future? [Artificial Intelligence],Future features - what future WebAssembly features are you interested in? [SIMD],Future features - what future WebAssembly features are you interested in? [Garbage Collection],Future features - what future WebAssembly features are you interested in? [ECMAScript module integration],Future features - what future WebAssembly features are you interested in? [Threads],Future features - what future WebAssembly features are you interested in? [Interface Types],Future features - what future WebAssembly features are you interested in? [Module Linking],Future features - what future WebAssembly features are you interested in? [Exception handling],Future features - what future WebAssembly features are you interested in? [WASI - WebAssembly System Interface],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better build tooling],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better debugging support],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A greater breadth of supported languages],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A stronger and more inclusive community],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better integration with JavaScript and browser APIs],Job Role - what most closely describes your role?,JavaScript Proficiency - how proficient are you at JavaScript?,WebAssembly Proficiency - how proficient are you at WebAssembly?,WebAssembly Experience - how long have you used or known about WebAssembly for?,Back-end Proficiency - how proficient are you at back-end development?,Industry Sector - which industry sector(s) do you work in?,Your Country or Region - where do you call home?,Current Language Usage - are there any other languages not listed about that you use?,,,Desired Usage - are there any other languages not listed about that you want to use?,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Swift]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Swift],"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Java]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Java]
6/14/2021 19:58:22,not used,have used occasionally,have used occasionally,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,"Web development, Containerisation, Game Development",very high impact,low impact,some impact,very high impact,some impact,some impact,some impact,very high impact,very high impact,some impact,no interest,modest interest,modest interest,very interested,modest interest,modest interest,very interested,very interested,really needs this,really needs this,needs this,needs this,needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",4 years,Able to handle complex multi-server or microservices architectures,Healthcare,United States,,,,"Crystal, Ruby",not used,don’t want to use,not used,don’t want to use
6/14/2021 19:59:04,not used,have used occasionally,use frequently,not used,not used,not used,use sometimes,not used,don’t want to use,want to use a lot,want to use a lot,don’t want to use,don’t want to use,don’t want to use,want to use a little,want to use a little,"Web development, Scientific",very high impact,Don't know :shrug:,some impact,very high impact,very high impact,some impact,very high impact,Don't know :shrug:,low impact,low impact,very interested,very interested,no interest,very interested,modest interest,very interested,very interested,very interested,really needs this,really needs this,needs this,needs this,doesn’t need this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",4 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,United States,,,,,have used occasionally,want to use a little,not used,don’t want to use
6/14/2021 19:59:33,have used occasionally,have used occasionally,not used,not used,not used,not used,not used,not used,want to use a lot,want to use a little,want to use a little,don’t want to use,not heard of it,not heard of it,want to use a little,not heard of it,"Web development, Game Development",very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very high impact,Don't know :shrug:,Don't know :shrug:,some impact,Don't know :shrug:,don’t know what it is :shrug:,very interested,very interested,modest interest,don’t know what it is :shrug:,modest interest,modest interest,don’t know what it is :shrug:,really needs this,really needs this,really needs this,really needs this,really needs this,Engineering manager,Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",3 years,Able to handle complex multi-server or microservices architectures,Government,United States,,,,,not used,want to use a little,have used occasionally,want to use a lot
6/14/2021 19:59:58,not used,not used,use frequently,not used,not used,not used,not used,not used,want to use a lot,not heard of it,want to use a lot,not heard of it,not heard of it,not heard of it,not heard of it,not heard of it,Game Development,some impact,some impact,some impact,very high impact,some impact,very high impact,some impact,some impact,low impact,some impact,very interested,very interested,no interest,very interested,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,really needs this,really needs this,really needs this,"Developer, game or graphics","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Entertainment,Poland,No,,,No,not used,not heard of it,not used,not heard of it
6/14/2021 20:01:09,use frequently,not used,not used,not used,not used,not used,not used,not used,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,"Web development, Internet of Things",very high impact,very high impact,very high impact,low impact,low impact,very high impact,some impact,some impact,some impact,some impact,modest interest,very interested,modest interest,very interested,modest interest,very interested,very interested,very interested,needs this,really needs this,needs this,needs this,needs this,"Developer, full-stack","Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,Able to handle complex multi-server or microservices architectures,Legal,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:04:53,not used,not used,have used occasionally,not used,use sometimes,use sometimes,not used,have used occasionally,don’t want to use,don’t want to use,want to use a little,don’t want to use,want to use a little,want to use a lot,don’t want to use,want to use a little,"Web development, Internet of Things, Serverless, Containerisation",some impact,very high impact,very high impact,very high impact,very high impact,very high impact,some impact,some impact,very high impact,very high impact,very interested,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,needs this,needs this,needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Consulting & Services,Germany,"Elixir, Julia, etc",,,Elixir and Julia,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:05:06,not used,use sometimes,have used occasionally,not used,not used,have used occasionally,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,want to use a little,want to use a little,don’t want to use,"Web development, Game Development",very high impact,Don't know :shrug:,some impact,some impact,some impact,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,modest interest,modest interest,modest interest,modest interest,very interested,very interested,no interest,very interested,really needs this,really needs this,needs this,really needs this,needs this,"Developer, full-stack","Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Consulting & Services,,C,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:07:52,not used,use sometimes,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,Web development,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,don’t know what it is :shrug:,no interest,modest interest,very interested,modest interest,modest interest,very interested,very interested,really needs this,really needs this,needs this,needs this,needs this,"Developer, back-end","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Ecommerce & Retail,Slovenia,no,,,no,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:10:10,use sometimes,not used,not used,not used,not used,not used,not used,not used,want to use a lot,want to use a little,want to use a little,don’t want to use,want to use a little,don’t want to use,don’t want to use,not heard of it,Web development,very high impact,some impact,some impact,low impact,low impact,some impact,low impact,some impact,low impact,Don't know :shrug:,don’t know what it is :shrug:,very interested,modest interest,very interested,very interested,very interested,very interested,very interested,needs this,really needs this,doesn’t need this,doesn’t need this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,United States,No,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:10:41,not used,use frequently,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a lot,want to use a little,don’t want to use,want to use a little,Web development,very high impact,very high impact,Don't know :shrug:,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,some impact,some impact,very interested,modest interest,modest interest,very interested,very interested,modest interest,modest interest,very interested,needs this,needs this,needs this,really needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",4 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Germany,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:13:15,use sometimes,not used,not used,not used,not used,not used,not used,not used,want to use a lot,don’t want to use,want to use a little,want to use a little,want to use a little,not heard of it,want to use a little,not heard of it,Web development,very high impact,Don't know :shrug:,Don't know :shrug:,some impact,low impact,very high impact,some impact,some impact,very high impact,some impact,very interested,modest interest,modest interest,very interested,very interested,very interested,very interested,very interested,needs this,needs this,doesn’t need this,needs this,really needs this,solution architect,"Writing short, simple JavaScript or jQuery statements","I am confident in using WebAssembly, but consider it a ‘black box’",3 years,Able to handle complex multi-server or microservices architectures,Finance,United Kingdom,,,,,not used,don’t want to use,not used,want to use a little
6/14/2021 20:13:27,not used,not used,use frequently,use sometimes,not used,not used,not used,not used,don’t want to use,want to use a little,want to use a lot,want to use a lot,want to use a little,not heard of it,don’t want to use,not heard of it,"Web development, Game Development, Scientific",very high impact,low impact,some impact,very high impact,low impact,some impact,some impact,low impact,very high impact,low impact,very interested,modest interest,modest interest,very interested,very interested,modest interest,modest interest,very interested,needs this,needs this,doesn’t need this,needs this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",3 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Germany,"clang (either via WASI or bare metal,headerless)",,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:13:33,not used,not used,use frequently,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a lot,Game Development,some impact,some impact,low impact,very high impact,very high impact,very high impact,low impact,low impact,low impact,low impact,modest interest,modest interest,no interest,very interested,very interested,very interested,modest interest,very interested,really needs this,really needs this,really needs this,doesn’t need this,doesn’t need this,"Developer, game or graphics","Writing short, simple JavaScript or jQuery statements","I’ve created advanced WebAssembly tooling (compilers, analyzers)",5+ years,Not able to handle any back-end work,Programming & Technical Tools,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:15:01,not used,have used occasionally,have used occasionally,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,don’t want to use,want to use a little,want to use a little,don’t want to use,want to use a little,"Web development, Audio / Video Processing",very high impact,low impact,low impact,low impact,some impact,very high impact,Don't know :shrug:,very high impact,some impact,Don't know :shrug:,very interested,no interest,very interested,modest interest,very interested,very interested,no interest,very interested,doesn’t need this,really needs this,doesn’t need this,really needs this,really needs this,"Developer, front-end",Architecturing entire front-end codebases from scratch,"I’ve created advanced WebAssembly tooling (compilers, analyzers)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Education,United Kingdom,,,,Haskell and Idris,use frequently,want to use a lot,not used,don’t want to use
6/14/2021 20:15:02,not used,use sometimes,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a little,don’t want to use,Scientific,some impact,low impact,low impact,low impact,some impact,very high impact,very high impact,very high impact,very high impact,low impact,no interest,no interest,modest interest,no interest,modest interest,no interest,no interest,very interested,doesn’t need this,doesn’t need this,doesn’t need this,doesn’t need this,doesn’t need this,"Developer, game or graphics","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Germany,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:15:09,not used,use frequently,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,not heard of it,don’t want to use,not heard of it,Web development,some impact,Don't know :shrug:,some impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very high impact,some impact,don’t know what it is :shrug:,modest interest,very interested,very interested,very interested,don’t know what it is :shrug:,no interest,very interested,needs this,really needs this,needs this,needs this,really needs this,"Developer, embedded applications or devices","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Ecommerce & Retail,Germany,,,,,not used,want to use a little,not used,don’t want to use
6/14/2021 20:16:43,not used,not used,not used,have used occasionally,have used occasionally,not used,not used,not used,not heard of it,not heard of it,not heard of it,want to use a lot,want to use a lot,not heard of it,not heard of it,not heard of it,"Web development, Serverless",very high impact,Don't know :shrug:,very high impact,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,don’t know what it is :shrug:,very interested,very interested,very interested,very interested,very interested,very interested,very interested,really needs this,doesn’t need this,really needs this,doesn’t need this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,Able to handle complex multi-server or microservices architectures,Real Estate,United States,,,,,not used,not heard of it,not used,not heard of it
6/14/2021 20:16:53,not used,have used occasionally,not used,not used,have used occasionally,not used,not used,not used,don’t want to use,want to use a lot,want to use a lot,want to use a little,want to use a lot,don’t want to use,don’t want to use,don’t want to use,Blockchain,very high impact,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very interested,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,doesn’t need this,really needs this,needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Entertainment,Italy,,,,,not used,want to use a little,not used,don’t want to use
6/14/2021 20:17:30,not used,use sometimes,have used occasionally,use frequently,have used occasionally,not used,use frequently,not used,don’t want to use,want to use a lot,want to use a little,don’t want to use,want to use a lot,not heard of it,not heard of it,not heard of it,"Web development, Game Development, Scientific, Cryptography",very high impact,Don't know :shrug:,some impact,some impact,some impact,very high impact,very high impact,very high impact,very high impact,some impact,very interested,very interested,very interested,modest interest,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,really needs this,really needs this,really needs this,Senior executive/VP,"Handling advanced front-end patterns (state management, data loading, etc.)","I’ve created advanced WebAssembly tooling (compilers, analyzers)",< 1 year,Able to handle complex multi-server or microservices architectures,Finance,United Kingdom,Erlang,,,,not used,not heard of it,not used,not heard of it
6/14/2021 20:19:11,not used,have used occasionally,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a little,Programming Language Development,some impact,very high impact,some impact,very high impact,some impact,some impact,low impact,Don't know :shrug:,very high impact,Don't know :shrug:,modest interest,very interested,no interest,very interested,very interested,very interested,modest interest,very interested,really needs this,needs this,needs this,really needs this,needs this,"Developer, back-end",Not able to write any JavaScript,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Transportation ,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:27:16,not used,use frequently,use sometimes,not used,have used occasionally,not used,not used,not used,want to use a little,want to use a lot,don’t want to use,want to use a little,want to use a little,not heard of it,want to use a little,not heard of it,"Web development, Scientific, research about WebAssembly itself",very high impact,low impact,some impact,very high impact,some impact,some impact,low impact,some impact,some impact,low impact,very interested,very interested,modest interest,modest interest,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,really needs this,needs this,really needs this,Scientist,"Writing short, simple JavaScript or jQuery statements","I’ve created advanced WebAssembly tooling (compilers, analyzers)",4 years,"Able to set up all-in-one CMSs (WordPress, etc.) or static site generators (Jekyll, etc.)",Programming & Technical Tools,Germany,,,,,not used,want to use a little,not used,want to use a little
6/14/2021 20:28:49,not used,use sometimes,not used,use sometimes,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,want to use a little,want to use a little,not heard of it,don’t want to use,not heard of it,"Web development, Internet of Things",very high impact,Don't know :shrug:,very high impact,low impact,some impact,very high impact,very high impact,very high impact,very high impact,low impact,no interest,no interest,very interested,very interested,very interested,very interested,modest interest,modest interest,needs this,really needs this,doesn’t need this,doesn’t need this,needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Facility management,Italy,"JavaScript, PHP",,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:29:08,not used,not used,use frequently,not used,not used,not used,not used,not used,want to use a little,want to use a little,want to use a little,not heard of it,not heard of it,not heard of it,not heard of it,not heard of it,Audio / Video Processing,some impact,very high impact,some impact,some impact,low impact,low impact,low impact,some impact,some impact,some impact,modest interest,modest interest,modest interest,very interested,modest interest,modest interest,modest interest,very interested,really needs this,really needs this,needs this,needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",< 1 year,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,Spain,,,,,not used,not heard of it,not used,not heard of it
6/14/2021 20:29:18,not used,use frequently,not used,not used,not used,not used,have used occasionally,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,Web development,some impact,Don't know :shrug:,very high impact,very high impact,very high impact,some impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very interested,no interest,modest interest,very interested,very interested,very interested,very interested,very interested,needs this,really needs this,doesn’t need this,really needs this,doesn’t need this,"Developer, back-end","Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,Able to handle complex multi-server or microservices architectures,Healthcare,Netherlands,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:30:33,not used,use frequently,have used occasionally,not used,not used,not used,not used,not used,not heard of it,want to use a lot,want to use a lot,want to use a little,not heard of it,not heard of it,want to use a lot,not heard of it,WebAssembly Interpreter,some impact,Don't know :shrug:,some impact,some impact,some impact,Don't know :shrug:,very high impact,low impact,low impact,very high impact,very interested,modest interest,don’t know what it is :shrug:,modest interest,no interest,very interested,no interest,very interested,needs this,really needs this,needs this,really needs this,doesn’t need this,Data scientist or machine learning specialist,"Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Communication Industry,Japan,,,,,not used,not heard of it,not used,not heard of it
6/14/2021 20:32:52,not used,have used occasionally,not used,use sometimes,not used,not used,have used occasionally,not used,don’t want to use,want to use a little,don’t want to use,want to use a lot,don’t want to use,not heard of it,want to use a lot,don’t want to use,"Containerisation, Scientific",some impact,some impact,some impact,very high impact,very high impact,some impact,very high impact,very high impact,very high impact,low impact,modest interest,modest interest,no interest,modest interest,very interested,very interested,no interest,very interested,needs this,needs this,needs this,needs this,needs this,"Engineer, data","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,Able to handle complex multi-server or microservices architectures,Healthcare,Netherlands,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:33:16,not used,use frequently,not used,use sometimes,use frequently,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,want to use a lot,want to use a lot,don’t want to use,want to use a lot,don’t want to use,"Serverless, Containerisation",very high impact,some impact,some impact,very high impact,some impact,some impact,low impact,low impact,some impact,some impact,modest interest,very interested,no interest,very interested,very interested,very interested,very interested,very interested,needs this,really needs this,needs this,needs this,needs this,"Developer, back-end","Writing short, simple JavaScript or jQuery statements","I’ve created advanced WebAssembly tooling (compilers, analyzers)",2 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,Canada,,,,,use sometimes,want to use a little,not used,don’t want to use
6/14/2021 20:36:13,not used,not used,use frequently,not used,not used,not used,not used,not used,don’t want to use,want to use a little,want to use a lot,don’t want to use,want to use a little,not heard of it,want to use a little,not heard of it,Web development,very high impact,very high impact,some impact,very high impact,some impact,Don't know :shrug:,Don't know :shrug:,some impact,very high impact,some impact,very interested,modest interest,modest interest,very interested,very interested,very interested,very interested,very interested,really needs this,really needs this,doesn’t need this,needs this,needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",3 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Programming & Technical Tools,United States,,,,,not used,don’t want to use,not used,want to use a little
6/14/2021 20:41:04,have used occasionally,use sometimes,not used,not used,have used occasionally,not used,not used,not used,want to use a little,want to use a lot,want to use a little,don’t want to use,want to use a little,not heard of it,don’t want to use,not heard of it,"Web development, Internet of Things, Game Development, Scientific, Artificial Intelligence",very high impact,Don't know :shrug:,some impact,Don't know :shrug:,Don't know :shrug:,some impact,some impact,Don't know :shrug:,some impact,some impact,don’t know what it is :shrug:,no interest,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,needs this,needs this,needs this,needs this,needs this,"Developer, desktop or enterprise applications",Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,United States,C#,,,no,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:46:44,not used,have used occasionally,have used occasionally,not used,have used occasionally,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a little,don’t want to use,don’t want to use,don’t want to use,"Web development, Internet of Things, Serverless",some impact,some impact,some impact,very high impact,very high impact,some impact,low impact,low impact,low impact,low impact,modest interest,no interest,modest interest,no interest,modest interest,modest interest,no interest,modest interest,needs this,needs this,doesn’t need this,needs this,doesn’t need this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Germany,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:48:52,not used,not used,not used,have used occasionally,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,want to use a lot,want to use a little,not heard of it,want to use a little,want to use a little,nothinh,very high impact,very high impact,very high impact,very high impact,very high impact,some impact,some impact,low impact,low impact,low impact,modest interest,modest interest,very interested,very interested,modest interest,very interested,very interested,very interested,really needs this,really needs this,doesn’t need this,really needs this,really needs this,"Developer, front-end","Handling advanced front-end patterns (state management, data loading, etc.)",I have no idea what WebAssembly is,< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Real Estate,United States,Javascript/Typescript,,,,not used,want to use a little,not used,don’t want to use
6/14/2021 20:53:22,have used occasionally,use frequently,not used,use sometimes,not used,not used,not used,not used,want to use a little,want to use a lot,want to use a little,want to use a lot,want to use a little,not heard of it,want to use a little,want to use a lot,"Web development, Serverless, Containerisation, Network filters (Envoy), Transformations (Vector.dev)",very high impact,some impact,some impact,very high impact,very high impact,very high impact,some impact,Don't know :shrug:,Don't know :shrug:,very high impact,very interested,modest interest,modest interest,very interested,very interested,very interested,modest interest,very interested,needs this,really needs this,really needs this,really needs this,needs this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Israel,,,,Julia,not used,don’t want to use,not used,want to use a little
6/14/2021 20:53:23,not used,have used occasionally,use frequently,not used,not used,not used,not used,not used,don’t want to use,want to use a little,want to use a lot,don’t want to use,want to use a little,don’t want to use,don’t want to use,don’t want to use,"Web development, Serverless, Scientific",some impact,low impact,Don't know :shrug:,very high impact,some impact,very high impact,very high impact,Don't know :shrug:,very high impact,some impact,very interested,no interest,modest interest,very interested,modest interest,modest interest,modest interest,no interest,really needs this,really needs this,doesn’t need this,doesn’t need this,needs this,Engineering manager,"Handling advanced front-end patterns (state management, data loading, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",3 years,Able to handle complex multi-server or microservices architectures,Healthcare,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/14/2021 20:57:50,use sometimes,use sometimes,not used,not used,not used,not used,not used,not used,want to use a little,want to use a lot,want to use a little,don’t want to use,want to use a little,not heard of it,don’t want to use,don’t want to use,"Web development, Serverless, Containerisation",very high impact,low impact,low impact,some impact,some impact,low impact,low impact,low impact,some impact,low impact,modest interest,no interest,modest interest,modest interest,very interested,modest interest,modest interest,very interested,really needs this,needs this,doesn’t need this,needs this,needs this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Finance,Sweden,,,,,not used,don’t want to use,not used,don’t want to use
